1960,695000
1961,752000
1962,838000
1963,886000
1964,1041000
1965,1134000
1966,1238000
1967,1343000
1968,1498000
1969,1608000
1970,1750000
1971,1884000
1972,2021000
1973,2143000
1974,2246000
1975,2175000
1976,2377000
1977,2535000
1978,2693000
1979,2935000
1980,2868000
1981,2827000
1982,2794000
1983,2852000
1984,2962000
1985,3114000
1986,3271000
1987,3414000
1988,3427000
1989,3598000
1990,3767000
1991,3897000
1992,4104000
1993,4185000
1994,4351000
1995,4525000
1996,4787000
1997,4976000
1998,5201000
1999,5433000
2000,5796000
2001,5896000
2002,6035000
2003,6092000
2004,6168000
2005,6241000
2006,6351000
2007,6218000
2008,6340000
2009,5947000
2010,5910000